,0,1,2
0,Internal - Not Solved0,sa min,0.9999714195849427
1,Internal - Not Solved1,sa min,0.005266632004315245
2,Internal - Not Solved0,sa max,2.4083781811381032e-17
3,Internal - Not Solved1,sa max,4.9353405427321614e-17
4,Internal - Not Solved0,sa avg,3.2087773567727716e-07
5,Internal - Not Solved1,sa avg,1.7322943542770169e-12
6,Internal - Not Solved0,sc min,1.0
7,Internal - Not Solved1,sc min,1.0
8,Internal - Not Solved0,sc max,1.0
9,Internal - Not Solved1,sc max,1.0
10,Internal - Not Solved0,sc avg,1.0
11,Internal - Not Solved1,sc avg,1.0
12,Internal - Not Solved0,ra min,0.9999999999999285
13,Internal - Not Solved1,ra min,0.9999999999999312
14,Internal - Not Solved0,ra max,0.9999999999999833
15,Internal - Not Solved1,ra max,0.9999999999999873
16,Internal - Not Solved0,ra avg,0.9999999999999774
17,Internal - Not Solved1,ra avg,0.9999999999999737
18,Internal - Not Solved0,syba min,0.8067839329979057
19,Internal - Not Solved1,syba min,0.9997387111114628
20,Internal - Not Solved0,syba max,1.0
21,Internal - Not Solved1,syba max,0.9999999999999766
22,Internal - Not Solved0,syba avg,0.9999999942487748
23,Internal - Not Solved1,syba avg,0.9999999955097717
